ts,src,vel,rpm,amp,temp,pot
16:17:12,LoRa,48.8,6.6,321,100.0,2038,7.9,7.2,53.5,39.2,17.0,-3.11901,-60.021717,88,82
18:00:00,LoRa,00:08:40,47.5,5.2,247,97.4,53.7,-5.3,1920,10.5,48,37,16.0,-3.113813,-60.015778,8,0,520,-51,21
18:00:01,LoRa,00:08:41,47.5,5.0,237,97.4,53.7,-5.5,1680,10.5,44,35,14.0,-3.113803,-60.015766,11,0,521,-89,27
18:00:02,LoRa,00:08:42,47.5,5.5,261,97.4,53.7,-3.0,1680,8.5,47,43,14.0,-3.113793,-60.015755,10,0,522,-88,21
18:00:03,LoRa,00:08:43,47.6,5.0,238,97.4,53.7,-5.5,1680,10.5,48,40,14.0,-3.113783,-60.015743,8,0,523,-80,24
18:00:04,LoRa,00:08:44,48.4,4.8,232,97.4,53.7,-5.7,1560,10.5,46,44,13.0,-3.113773,-60.015732,11,0,524,-46,21
18:00:05,LoRa,00:08:45,48.4,5.0,242,97.4,53.7,-3.5,1920,8.5,48,41,16.0,-3.113763,-60.01572,11,0,525,-70,16
18:00:06,LoRa,00:08:46,47.9,5.1,244,97.4,53.7,-5.4,1680,10.5,41,38,14.0,-3.113753,-60.015709,8,0,526,-77,23
18:00:07,LoRa,00:08:47,47.5,4.9,233,97.4,53.7,-3.6,1800,8.5,45,41,15.0,-3.113743,-60.015697,11,0,527,-108,23
18:00:08,LoRa,00:08:48,47.5,5.5,261,97.4,53.7,-5.0,1800,10.5,48,35,15.0,-3.113733,-60.015686,8,0,528,-50,23
18:00:09,LoRa,00:08:49,48.0,5.6,269,97.4,53.7,-3.9,1680,9.5,40,43,14.0,-3.113723,-60.015675,10,0,529,-77,16
18:00:10,LoRa,00:08:50,47.9,5.5,263,97.4,53.7,-4.0,1800,9.5,47,44,15.0,-3.113713,-60.015663,10,0,530,-108,27
18:00:11,LoRa,00:08:51,48.4,5.1,247,97.3,53.7,-3.4,1560,8.5,48,41,13.0,-3.113703,-60.015652,9,0,531,-54,20
18:00:12,LoRa,00:08:52,47.6,5.4,257,97.3,53.7,-3.1,1680,8.5,47,42,14.0,-3.113693,-60.01564,8,0,532,-109,26
